Date,wikipedia_pageviews
2017-12-19,158024.0
2017-12-20,166711.0
2017-12-21,144330.0
2017-12-22,167041.0
2017-12-23,147971.0
2017-12-24,111542.0
2017-12-25,117925.0
2017-12-26,128835.0
2017-12-27,100995.0
2017-12-28,94098.0
2017-12-29,93345.0
2017-12-30,84729.0
2017-12-31,68856.0
2018-01-01,66949.0
2018-01-02,90271.0
2018-01-03,99223.0
2018-01-04,88224.0
2018-01-05,81601.0
2018-01-06,81564.0
2018-01-07,80580.0
2018-01-08,89326.0
2018-01-09,93964.0
2018-01-10,101726.0
2018-01-11,90383.0
2018-01-12,78303.0
2018-01-13,70335.0
2018-01-14,60970.0
2018-01-15,65857.0
2018-01-16,76274.0
2018-01-17,91829.0
2018-01-18,72867.0
2018-01-19,62607.0
2018-01-20,53113.0
2018-01-21,49158.0
2018-01-22,55522.0
2018-01-23,50426.0
2018-01-24,52910.0
2018-01-25,55993.0
2018-01-26,47466.0
2018-01-27,41276.0
2018-01-28,41881.0
2018-01-29,43600.0
2018-01-30,42251.0
2018-01-31,46740.0
2018-02-01,50088.0
2018-02-02,55719.0
2018-02-03,47365.0
2018-02-04,45525.0
2018-02-05,59427.0
2018-02-06,62245.0
2018-02-07,45923.0
2018-02-08,43539.0
2018-02-09,43556.0
2018-02-10,36798.0
2018-02-11,37293.0
2018-02-12,45447.0
2018-02-13,40316.0
2018-02-14,36872.0
2018-02-15,38966.0
2018-02-16,32756.0
2018-02-17,29889.0
2018-02-18,28067.0
2018-02-19,28114.0
2018-02-20,40395.0
2018-02-21,26033.0
2018-02-22,26010.0
2018-02-23,21893.0
2018-02-24,19814.0
2018-02-25,27283.0
2018-02-26,26046.0
2018-02-27,29257.0
2018-02-28,24799.0
2018-03-01,21338.0
2018-03-02,30328.0
2018-03-03,18238.0
2018-03-04,19122.0
2018-03-05,21987.0
2018-03-06,32332.0
2018-03-07,26604.0
2018-03-08,18857.0
2018-03-09,19575.0
2018-03-10,17796.0
2018-03-11,21810.0
2018-03-12,22668.0
2018-03-13,21747.0
2018-03-14,20107.0
2018-03-15,20290.0
2018-03-16,18473.0
2018-03-17,15044.0
2018-03-18,17508.0
2018-03-19,29251.0
2018-03-20,22863.0
2018-03-21,26958.0
2018-03-22,32776.0
2018-03-23,27263.0
2018-03-24,15234.0
2018-03-25,13914.0
2018-03-26,26741.0
2018-03-27,20938.0
2018-03-28,25819.0
2018-03-29,18742.0
2018-03-30,19021.0
2018-03-31,13350.0
2018-04-01,14424.0
2018-04-02,19687.0
2018-04-03,18898.0
2018-04-04,21414.0
2018-04-05,22195.0
2018-04-06,19322.0
2018-04-07,18205.0
2018-04-08,18606.0
2018-04-09,15723.0
2018-04-10,19123.0
2018-04-11,15537.0
2018-04-12,17741.0
2018-04-13,16030.0
2018-04-14,12764.0
2018-04-15,12921.0
2018-04-16,16699.0
2018-04-17,18189.0
2018-04-18,17159.0
2018-04-19,16228.0
2018-04-20,15985.0
2018-04-21,16387.0
2018-04-22,21300.0
2018-04-23,28166.0
2018-04-24,22346.0
2018-04-25,19668.0
2018-04-26,20553.0
2018-04-27,15876.0
2018-04-28,11684.0
2018-04-29,11785.0
2018-04-30,14269.0
2018-05-01,14110.0
2018-05-02,14600.0
2018-05-03,13477.0
2018-05-04,14729.0
2018-05-05,12677.0
2018-05-06,13678.0
2018-05-07,17080.0
2018-05-08,19962.0
2018-05-09,16867.0
2018-05-10,17515.0
2018-05-11,15364.0
2018-05-12,13387.0
2018-05-13,13816.0
2018-05-14,14904.0
2018-05-15,15234.0
2018-05-16,14503.0
2018-05-17,15599.0
2018-05-18,19564.0
2018-05-19,15349.0
2018-05-20,15779.0
2018-05-21,21575.0
2018-05-22,14983.0
2018-05-23,16156.0
2018-05-24,14508.0
2018-05-25,13802.0
2018-05-26,11409.0
2018-05-27,23363.0
2018-05-28,13694.0
2018-05-29,13825.0
2018-05-30,13645.0
2018-05-31,20504.0
2018-06-01,11662.0
2018-06-02,9725.0
2018-06-03,16001.0
2018-06-04,19183.0
2018-06-05,25079.0
2018-06-06,36825.0
2018-06-07,31536.0
2018-06-08,25755.0
2018-06-09,21012.0
2018-06-10,22801.0
2018-06-11,25154.0
2018-06-12,20562.0
2018-06-13,19341.0
2018-06-14,15983.0
2018-06-15,13205.0
2018-06-16,11655.0
2018-06-17,17386.0
2018-06-18,17898.0
2018-06-19,15766.0
2018-06-20,25596.0
2018-06-21,15643.0
2018-06-22,13373.0
2018-06-23,11597.0
2018-06-24,17672.0
2018-06-25,17561.0
2018-06-26,17717.0
2018-06-27,17989.0
2018-06-28,19095.0
2018-06-29,14756.0
2018-06-30,14906.0
2018-07-01,15557.0
2018-07-02,16592.0
2018-07-03,13998.0
2018-07-04,13749.0
2018-07-05,17100.0
2018-07-06,12933.0
2018-07-07,8893.0
2018-07-08,9623.0
2018-07-09,11197.0
2018-07-10,16790.0
2018-07-11,12259.0
2018-07-12,11732.0
2018-07-13,13504.0
2018-07-14,12670.0
2018-07-15,12701.0
2018-07-16,13290.0
2018-07-17,12960.0
2018-07-18,14290.0
2018-07-19,14658.0
2018-07-20,13106.0
2018-07-21,12226.0
2018-07-22,11888.0
2018-07-23,14140.0
2018-07-24,13519.0
2018-07-25,15289.0
2018-07-26,13985.0
2018-07-27,14782.0
2018-07-28,13087.0
2018-07-29,16289.0
2018-07-30,13657.0
2018-07-31,14920.0
2018-08-01,14337.0
2018-08-02,16057.0
2018-08-03,15321.0
2018-08-04,11585.0
2018-08-05,11833.0
2018-08-06,16669.0
2018-08-07,17544.0
2018-08-08,12867.0
2018-08-09,11084.0
2018-08-10,13629.0
2018-08-11,11869.0
2018-08-12,12065.0
2018-08-13,14328.0
2018-08-14,14544.0
2018-08-15,15421.0
2018-08-16,14026.0
2018-08-17,13047.0
2018-08-18,13778.0
2018-08-19,14376.0
2018-08-20,13293.0
2018-08-21,13831.0
2018-08-22,14191.0
2018-08-23,13674.0
2018-08-24,14352.0
2018-08-25,13281.0
2018-08-26,12213.0
2018-08-27,15071.0
2018-08-28,13951.0
2018-08-29,14267.0
2018-08-30,15138.0
2018-08-31,13025.0
2018-09-01,11844.0
2018-09-02,13971.0
2018-09-03,15414.0
